Program Name,Schedule Name,Schedule Type,Source,Start Time,Duration,End Time
3 - RWC 2011 Classic Match,Promo-9 -15s.mp4,FILE,D:\Promos\Promo-9 -15s.mp4,28:18.2,00:15.0,28:33.2
3 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,28:18.2,00:00.0,28:18.2
3 - RWC 2011 Classic Match,Promo-7 -15s.mp4,FILE,D:\Promos\Promo-7 -15s.mp4,28:33.2,00:15.0,28:48.2
3 - RWC 2011 Classic Match,Promo-6 -52s.mp4,FILE,D:\Promos\Promo-6 -52s.mp4,28:48.2,00:52.3,29:40.5
3 - RWC 2011 Classic Match,Promo-15 -15s.mp4,FILE,D:\Promos\Promo-15 -15s.mp4,29:40.5,00:14.5,29:55.0
3 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,29:55.0,00:05.0,30:00.0
4 - RWC 2011 Classic Match,4 - RWC 2011 Classic Match.mp4,FILE,D:\RugbyWC\4 - RWC 2011 Classic Match.mp4,30:00.0,13:55.0,43:55.0
4 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,43:55.0,00:05.0,44:00.0
4 - RWC 2011 Classic Match,Promo-8 -30s.mp4,FILE,D:\Promos\Promo-8 -30s.mp4,44:00.0,00:30.0,44:30.0
4 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,44:00.0,00:00.0,44:00.0
4 - RWC 2011 Classic Match,Promo-4 -30s.mp4,FILE,D:\Promos\Promo-4 -30s.mp4,44:30.0,00:30.0,45:00.1
4 - RWC 2011 Classic Match,Promo-14 -30s.mp4,FILE,D:\Promos\Promo-14 -30s.mp4,45:00.1,00:30.0,45:30.1
4 - RWC 2011 Classic Match,Promo-16 -30s.mp4,FILE,D:\Promos\Promo-16 -30s.mp4,45:30.1,00:30.0,46:00.1
4 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,46:00.1,00:05.0,46:05.1
4 - RWC 2011 Classic Match,4 - RWC 2011 Classic Match.mp4,FILE,D:\RugbyWC\4 - RWC 2011 Classic Match.mp4,46:05.1,12:10.0,58:15.2
4 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,58:15.2,00:05.0,58:20.2
4 - RWC 2011 Classic Match,Promo-6 -52s.mp4,FILE,D:\Promos\Promo-6 -52s.mp4,58:20.2,00:52.3,59:12.4
4 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,58:20.2,00:00.0,58:20.2
4 - RWC 2011 Classic Match,Promo-10 -30s.mp4,FILE,D:\Promos\Promo-10 -30s.mp4,59:12.4,00:30.0,59:42.5
4 - RWC 2011 Classic Match,Promo-11-15s.mp4,FILE,D:\Promos\Promo-11-15s.mp4,59:42.5,00:12.5,59:55.0
4 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,59:55.0,00:05.0,00:00.0
5 - RWC 2011 Classic Match,5 - RWC 2011 Classic Match.mp4,FILE,D:\RugbyWC\5 - RWC 2011 Classic Match.mp4,00:00.0,13:45.0,13:45.0
5 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,13:45.0,00:05.0,13:50.0
5 - RWC 2011 Classic Match,Promo-1 -15s.mp4,FILE,D:\Promos\Promo-1 -15s.mp4,13:50.0,00:15.0,14:05.0
5 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,13:50.0,00:00.0,13:50.0
5 - RWC 2011 Classic Match,Promo-18 -15s.mp4,FILE,D:\Promos\Promo-18 -15s.mp4,14:05.0,00:15.0,14:20.1
5 - RWC 2011 Classic Match,Promo-2 -30s.mp4,FILE,D:\Promos\Promo-2 -30s.mp4,14:20.1,00:30.0,14:50.1
5 - RWC 2011 Classic Match,Promo-17-60s.mp4,FILE,D:\Promos\Promo-17-60s.mp4,14:50.1,01:00.0,15:50.1
5 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,15:50.1,00:05.0,15:55.1
5 - RWC 2011 Classic Match,5 - RWC 2011 Classic Match.mp4,FILE,D:\RugbyWC\5 - RWC 2011 Classic Match.mp4,15:55.1,12:17.0,28:12.2
5 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,28:12.2,00:05.0,28:17.2
5 - RWC 2011 Classic Match,Promo-10 -30s.mp4,FILE,D:\Promos\Promo-10 -30s.mp4,28:17.2,00:30.0,28:47.2
5 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,28:17.2,00:00.0,28:17.2
5 - RWC 2011 Classic Match,Promo-6 -52s.mp4,FILE,D:\Promos\Promo-6 -52s.mp4,28:47.2,00:52.3,29:39.5
5 - RWC 2011 Classic Match,Promo-9 -15s.mp4,FILE,D:\Promos\Promo-9 -15s.mp4,29:39.5,00:15.0,29:54.5
5 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,29:54.5,00:05.0,29:59.5
6 - RWC 2011 Classic Match,6 - RWC 2011 Classic Match.mp4,FILE,D:\RugbyWC\6 - RWC 2011 Classic Match.mp4,29:59.5,12:37.0,42:36.5
6 - RWC 2011 Classic Match,Promo-16 -30s.mp4,FILE,D:\Promos\Promo-16 -30s.mp4,42:36.5,00:30.0,43:06.5
6 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,43:06.5,00:05.0,43:11.5
6 - RWC 2011 Classic Match,Promo-1 -15s.mp4,FILE,D:\Promos\Promo-1 -15s.mp4,43:11.5,00:15.0,43:26.6
6 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,43:11.5,00:00.0,43:11.5
6 - RWC 2011 Classic Match,Promo-11-15s.mp4,FILE,D:\Promos\Promo-11-15s.mp4,43:26.6,00:15.0,43:41.6
6 - RWC 2011 Classic Match,Promo-13 -60s.mp4,FILE,D:\Promos\Promo-13 -60s.mp4,43:41.6,01:00.0,44:41.6
6 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,44:41.6,00:05.0,44:46.6
6 - RWC 2011 Classic Match,6 - RWC 2011 Classic Match.mp4,FILE,D:\RugbyWC\6 - RWC 2011 Classic Match.mp4,44:46.6,13:26.0,58:12.7
6 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,58:12.7,00:05.0,58:17.7
6 - RWC 2011 Classic Match,Promo-9 -15s.mp4,FILE,D:\Promos\Promo-9 -15s.mp4,58:17.7,00:15.0,58:32.7
6 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,58:17.7,00:00.0,58:17.7
6 - RWC 2011 Classic Match,Promo-7 -15s.mp4,FILE,D:\Promos\Promo-7 -15s.mp4,58:32.7,00:15.0,58:47.7
6 - RWC 2011 Classic Match,Promo-6 -52s.mp4,FILE,D:\Promos\Promo-6 -52s.mp4,58:47.7,00:52.3,59:40.0
6 - RWC 2011 Classic Match,Promo-15 -15s.mp4,FILE,D:\Promos\Promo-15 -15s.mp4,59:40.0,00:15.0,59:55.0
6 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,59:55.0,00:05.0,00:00.0
7 - History of RWC 2007 & 2011,7 - History of RWC 2007 & 2011.mp4,FILE,D:\RugbyWC\7 - History of RWC 2007 & 2011.mp4,00:00.0,12:38.0,12:38.0
7 - History of RWC 2007 & 2011,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,12:38.0,00:05.0,12:43.0
7 - History of RWC 2007 & 2011,Promo-13 -60s.mp4,FILE,D:\Promos\Promo-13 -60s.mp4,12:43.0,01:00.0,13:43.0
