,Program Name,Schedule Name,Schedule Type,Source,Start Time,Duration,End Time,New Start Time,New End Time
51,3 - RWC 2011 Classic Match,Promo-16 -30s.mp4,FILE,D:\Promos\Promo-16 -30s.mp4,14:30.1,00:30.0,15:00.1,2023-09-01 11:14:28,2023-09-01 11:14:58
52,3 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,15:00.1,00:05.0,15:05.1,2023-09-01 11:14:58,2023-09-01 11:15:03
53,3 - RWC 2011 Classic Match,3 - RWC 2011 Classic Match.mp4,FILE,D:\RugbyWC\3 - RWC 2011 Classic Match.mp4,15:05.1,13:08.0,28:13.2,2023-09-01 11:15:03,2023-09-01 11:28:11
54,3 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,28:13.2,00:05.0,28:18.2,2023-09-01 11:28:11,2023-09-01 11:28:16
55,3 - RWC 2011 Classic Match,Promo-9 -15s.mp4,FILE,D:\Promos\Promo-9 -15s.mp4,28:18.2,00:15.0,28:33.2,2023-09-01 11:28:16,2023-09-01 11:28:31
56,3 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,28:18.2,00:00.0,28:18.2,2023-09-01 11:28:31,2023-09-01 11:28:31
57,3 - RWC 2011 Classic Match,Promo-7 -15s.mp4,FILE,D:\Promos\Promo-7 -15s.mp4,28:33.2,00:15.0,28:48.2,2023-09-01 11:28:31,2023-09-01 11:28:46
58,3 - RWC 2011 Classic Match,Promo-6 -52s.mp4,FILE,D:\Promos\Promo-6 -52s.mp4,28:48.2,00:52.3,29:40.5,2023-09-01 11:28:46,2023-09-01 11:29:38
59,3 - RWC 2011 Classic Match,Promo-15 -15s.mp4,FILE,D:\Promos\Promo-15 -15s.mp4,29:40.5,00:14.5,29:55.0,2023-09-01 11:29:38,2023-09-01 11:29:52
60,3 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,29:55.0,00:05.0,30:00.0,2023-09-01 11:29:52,2023-09-01 11:29:57
61,4 - RWC 2011 Classic Match,4 - RWC 2011 Classic Match.mp4,FILE,D:\RugbyWC\4 - RWC 2011 Classic Match.mp4,30:00.0,13:55.0,43:55.0,2023-09-01 11:29:57,2023-09-01 11:43:52
62,4 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,43:55.0,00:05.0,44:00.0,2023-09-01 11:43:52,2023-09-01 11:43:57
63,4 - RWC 2011 Classic Match,Promo-8 -30s.mp4,FILE,D:\Promos\Promo-8 -30s.mp4,44:00.0,00:30.0,44:30.0,2023-09-01 11:43:57,2023-09-01 11:44:27
64,4 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,44:00.0,00:00.0,44:00.0,2023-09-01 11:44:27,2023-09-01 11:44:27
65,4 - RWC 2011 Classic Match,Promo-4 -30s.mp4,FILE,D:\Promos\Promo-4 -30s.mp4,44:30.0,00:30.0,45:00.1,2023-09-01 11:44:27,2023-09-01 11:44:57
66,4 - RWC 2011 Classic Match,Promo-14 -30s.mp4,FILE,D:\Promos\Promo-14 -30s.mp4,45:00.1,00:30.0,45:30.1,2023-09-01 11:44:57,2023-09-01 11:45:27
67,4 - RWC 2011 Classic Match,Promo-16 -30s.mp4,FILE,D:\Promos\Promo-16 -30s.mp4,45:30.1,00:30.0,46:00.1,2023-09-01 11:45:27,2023-09-01 11:45:57
68,4 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,46:00.1,00:05.0,46:05.1,2023-09-01 11:45:57,2023-09-01 11:46:02
